,bb,cb,db,eb,fb,bc,cc,dc,ec,bd,cd,dd,ed,fd,be,ce,de,ee
bb,0.0,5.702,4.063,8.61,9.813,17.098,16.505,18.313,13.825,18.675,20.371,24.022,25.087,23.636,17.276,22.44,18.797,23.459
cb,5.702,0.0,6.393,8.102,7.643,12.516,11.814,13.731,9.243,13.422,15.118,18.725,19.79,18.383,11.945,17.109,13.466,18.128
db,4.063,6.393,0.0,7.574,10.517,16.207,15.614,17.422,12.934,17.784,19.48,23.131,24.196,22.745,17.131,22.295,18.652,23.314
eb,8.61,8.102,7.574,0.0,12.854,15.553,14.96,16.768,12.28,17.13,18.826,22.477,23.542,22.091,16.967,22.131,18.488,23.15
fb,9.813,7.643,10.517,12.854,0.0,16.364,15.293,17.579,13.091,16.649,18.344,21.733,22.799,21.592,14.954,20.118,16.474,21.136
bc,17.098,12.516,16.207,15.553,16.364,0.0,10.11,4.143,6.144,15.891,17.587,21.238,22.303,20.852,19.118,24.282,20.639,25.301
cc,16.505,11.814,15.614,14.96,15.293,10.11,0.0,10.355,6.183,9.999,11.694,15.345,16.41,14.96,14.938,19.822,16.459,21.121
dc,18.313,13.731,17.422,16.768,17.579,4.143,10.355,0.0,6.389,16.136,17.832,21.482,22.548,21.097,20.333,25.497,21.854,26.516
ec,13.825,9.243,12.934,12.28,13.091,6.144,6.183,6.389,0.0,11.964,13.659,17.31,18.375,16.925,15.845,21.009,17.366,22.028
bd,18.675,13.422,17.784,17.13,16.649,15.891,9.999,16.136,11.964,0.0,4.74,9.722,10.542,8.006,13.773,17.705,15.123,19.419
cd,20.371,15.118,19.48,18.826,18.344,17.587,11.694,17.832,13.659,4.74,0.0,10.283,9.884,7.183,15.469,19.401,16.818,21.114
dd,24.022,18.725,23.131,22.477,21.733,21.238,15.345,21.482,17.31,9.722,10.283,0.0,7.326,11.535,16.958,20.639,18.085,22.353
ed,25.087,19.79,24.196,23.542,22.799,22.303,16.41,22.548,18.375,10.542,9.884,7.326,0.0,7.748,18.957,22.639,20.084,24.352
fd,23.636,18.383,22.745,22.091,21.592,20.852,14.96,21.097,16.925,8.006,7.183,11.535,7.748,0.0,18.351,22.283,19.7,23.996
be,17.276,11.945,17.131,16.967,14.954,19.118,14.938,20.333,15.845,13.773,15.469,16.958,18.957,18.351,0.0,9.77,6.126,10.199
ce,22.44,17.109,22.295,22.131,20.118,24.282,19.822,25.497,21.009,17.705,19.401,20.639,22.639,22.283,9.77,0.0,6.04,5.903
de,18.797,13.466,18.652,18.488,16.474,20.639,16.459,21.854,17.366,15.123,16.818,18.085,20.084,19.7,6.126,6.04,0.0,6.684
ee,23.459,18.128,23.314,23.15,21.136,25.301,21.121,26.516,22.028,19.419,21.114,22.353,24.352,23.996,10.199,5.903,6.684,0.0
