from,to,distance
robot1,robot2,22.043
robot1,robot3,13.056
robot1,robot4,16.026
robot1,bb,20.781
robot1,cb,16.118
robot1,db,20.199
robot1,eb,18.951
robot1,fb,19.977
robot1,gb,22.922
robot1,bc,6.9
robot1,cc,12.345
robot1,dc,5.583
robot1,ec,8.66
robot1,fc,4.384
robot1,gc,8.501
robot1,bd,18.484
robot1,cd,20.061
robot1,dd,23.762
robot1,ed,25.059
robot1,fd,23.414
robot1,gd,22.502
robot1,be,22.557
robot1,ce,28.144
robot1,de,24.517
robot1,ee,28.88
robot1,fe,24.626
robot1,ge,24.52
robot1,he,21.65
robot1,b,20.118
robot1,c,7.569
robot1,d,19.99
robot1,e,23.694
robot2,robot3,10.807
robot2,robot4,11.549
robot2,bb,22.09
robot2,cb,16.839
robot2,db,21.508
robot2,eb,20.26
robot2,fb,20.097
robot2,gb,23.863
robot2,bc,19.648
robot2,cc,13.639
robot2,dc,19.684
robot2,ec,15.602
robot2,fc,21.408
robot2,gc,17.884
robot2,bd,6.786
robot2,cd,5.872
robot2,dd,11.868
robot2,ed,8.881
robot2,fd,4.171
robot2,gd,13.308
robot2,be,17.385
robot2,ce,21.213
robot2,de,18.681
robot2,ee,22.94
robot2,fe,19.454
robot2,ge,17.589
robot2,he,16.478
robot2,b,20.546
robot2,c,16.743
robot2,d,8.547
robot2,e,16.762
robot3,robot4,2.97
robot3,bb,11.282
robot3,cb,6.201
robot3,db,10.701
robot3,eb,9.452
robot3,fb,9.878
robot3,gb,13.132
robot3,bc,10.192
robot3,cc,5.983
robot3,dc,10.696
robot3,ec,6.513
robot3,fc,12.975
robot3,gc,9.451
robot3,bd,7.248
robot3,cd,8.825
robot3,dd,12.526
robot3,ed,13.823
robot3,fd,12.178
robot3,gd,10.444
robot3,be,9.501
robot3,ce,15.137
robot3,de,11.461
robot3,ee,15.825
robot3,fe,11.571
robot3,ge,11.574
robot3,he,8.594
robot3,b,10.233
robot3,c,7.755
robot3,d,8.027
robot3,e,10.747
robot4,bb,12.057
robot4,cb,6.369
robot4,db,11.788
robot4,eb,11.016
robot4,fb,9.555
robot4,gb,13.394
robot4,bc,12.683
robot4,cc,8.225
robot4,dc,13.666
robot4,ec,9.084
robot4,fc,15.945
robot4,gc,12.421
robot4,bd,7.99
robot4,cd,9.566
robot4,dd,11.998
robot4,ed,14.257
robot4,fd,12.92
robot4,gd,8.76
robot4,be,6.531
robot4,ce,12.167
robot4,de,8.491
robot4,ee,12.855
robot4,fe,8.601
robot4,ge,8.604
robot4,he,5.624
robot4,b,10.003
robot4,c,10.725
robot4,d,6.79
robot4,e,7.777
bb,cb,5.702
bb,db,4.063
bb,eb,8.739
bb,fb,9.643
bb,gb,4.763
bb,bc,17.096
bb,cc,16.195
bb,dc,18.165
bb,ec,13.604
bb,fc,22.043
bb,gc,19.375
bb,bd,18.53
bb,cd,20.107
bb,dd,23.808
bb,ed,25.105
bb,fd,23.46
bb,gd,20.817
bb,be,17.173
bb,ce,22.809
bb,de,19.132
bb,ee,23.496
bb,fe,19.242
bb,ge,19.978
bb,he,16.266
bb,b,6.097
bb,c,16.53
bb,d,18.847
bb,e,18.621
cb,db,6.211
cb,eb,7.289
cb,fb,7.101
cb,gb,7.039
cb,bc,12.433
cb,cc,11.361
cb,dc,13.502
cb,ec,8.941
cb,fc,17.38
cb,gc,14.541
cb,bd,13.28
cb,cd,14.857
cb,dd,18.367
cb,ed,19.69
cb,fd,18.21
cb,gd,15.13
cb,be,11.485
cb,ce,17.121
cb,de,13.445
cb,ee,17.809
cb,fe,13.555
cb,ge,14.29
cb,he,10.578
cb,b,4.137
cb,c,11.867
cb,d,13.159
cb,e,12.934
db,eb,7.766
db,fb,10.152
db,gb,6.244
db,bc,16.515
db,cc,15.614
db,dc,17.584
db,ec,13.023
db,fc,21.462
db,gc,18.794
db,bd,17.949
db,cd,19.526
db,dd,23.227
db,ed,24.524
db,fd,22.879
db,gd,20.549
db,be,17.194
db,ce,22.83
db,de,19.154
db,ee,23.517
db,fe,19.264
db,ge,19.999
db,he,16.287
db,b,6.606
db,c,15.949
db,d,18.532
db,e,18.643
eb,fb,12.124
eb,gb,10.881
eb,bc,15.266
eb,cc,14.365
eb,dc,16.335
eb,ec,11.774
eb,fc,20.213
eb,gc,17.545
eb,bd,16.7
eb,cd,18.277
eb,dd,21.978
eb,ed,23.275
eb,fd,21.63
eb,gd,19.776
eb,be,16.44
eb,ce,22.077
eb,de,18.4
eb,ee,22.764
eb,fe,18.51
eb,ge,19.246
eb,he,15.533
eb,b,10.204
eb,c,14.7
eb,d,17.48
eb,e,17.889
fb,gb,10.744
fb,bc,16.293
fb,cc,15.038
fb,dc,17.362
fb,ec,12.8
fb,fc,21.24
fb,gc,18.218
fb,bd,16.538
fb,cd,18.115
fb,dd,21.553
fb,ed,22.948
fb,fd,21.468
fb,gd,18.316
fb,be,14.671
fb,ce,20.307
fb,de,16.631
fb,ee,20.994
fb,fe,16.741
fb,ge,17.476
fb,he,13.764
fb,b,5.922
fb,c,15.726
fb,d,16.345
fb,e,16.12
gb,bc,19.238
gb,cc,18.292
gb,dc,20.307
gb,ec,15.746
gb,fc,24.185
gb,gc,21.471
gb,bd,20.304
gb,cd,21.881
gb,dd,25.392
gb,ed,26.714
gb,fd,25.234
gb,gd,22.154
gb,be,18.509
gb,ce,24.146
gb,de,20.469
gb,ee,24.833
gb,fe,20.579
gb,ge,21.315
gb,he,17.603
gb,b,5.728
gb,c,18.671
gb,d,20.184
gb,e,19.958
bc,cc,10.23
bc,dc,4.154
bc,ec,6.265
bc,fc,8.492
bc,gc,10.856
bc,bd,16.089
bc,cd,17.665
bc,dd,21.367
bc,ed,22.664
bc,fd,21.019
bc,gd,20.107
bc,be,19.215
bc,ce,24.851
bc,de,21.174
bc,ee,25.538
bc,fe,21.284
bc,ge,21.287
bc,he,18.308
bc,b,16.433
bc,c,5.238
bc,d,17.595
bc,e,20.461
cc,dc,10.266
cc,ec,6.184
cc,fc,11.553
cc,gc,8.029
cc,bd,10.08
cc,cd,11.657
cc,dd,15.358
cc,ed,16.655
cc,fd,15.01
cc,gd,14.098
cc,be,14.756
cc,ce,19.74
cc,de,16.716
cc,ee,21.079
cc,fe,16.825
cc,ge,16.116
cc,he,13.849
cc,b,15.393
cc,c,7.324
cc,d,11.586
cc,e,15.29
dc,ec,6.3
dc,fc,7.264
dc,gc,10.153
dc,bd,16.124
dc,cd,17.701
dc,dd,21.403
dc,ed,22.699
dc,fd,21.055
dc,gd,20.142
dc,be,20.198
dc,ce,25.785
dc,de,22.157
dc,ee,26.521
dc,fe,22.267
dc,ge,22.161
dc,he,19.291
dc,b,17.502
dc,c,5.21
dc,d,17.63
dc,e,21.335
ec,fc,9.751
ec,gc,8.412
ec,bd,12.043
ec,cd,13.62
ec,dd,17.321
ec,ed,18.618
ec,fd,16.973
ec,gd,16.061
ec,be,15.616
ec,ce,21.252
ec,de,17.575
ec,ee,21.939
ec,fe,17.685
ec,ge,17.688
ec,he,14.709
ec,b,12.941
ec,c,3.715
ec,d,13.549
ec,e,16.862
fc,gc,7.709
fc,bd,17.848
fc,cd,19.425
fc,dd,23.126
fc,ed,24.423
fc,fd,22.778
fc,gd,21.866
fc,be,22.476
fc,ce,27.509
fc,de,24.436
fc,ee,28.799
fc,fe,24.545
fc,ge,23.885
fc,he,21.569
fc,b,21.38
fc,c,7.335
fc,d,19.354
fc,e,23.058
gc,bd,14.324
gc,cd,15.901
gc,dd,19.602
gc,ed,20.899
gc,fd,19.254
gc,gd,18.342
gc,be,18.952
gc,ce,23.985
gc,de,20.912
gc,ee,25.276
gc,fe,21.022
gc,ge,20.361
gc,he,18.045
gc,b,18.573
gc,c,5.618
gc,d,15.83
gc,e,19.534
bd,cd,4.804
bd,dd,9.8
bd,ed,11.047
bd,fd,8.157
bd,gd,10.477
bd,be,13.825
bd,ce,17.875
bd,de,15.303
bd,ee,19.602
bd,fe,15.895
bd,ge,14.251
bd,he,12.918
bd,b,16.986
bd,c,13.183
bd,d,6.48
bd,e,13.425
cd,dd,10.205
cd,ed,10.314
cd,fd,7.243
cd,gd,11.645
cd,be,15.402
cd,ce,19.421
cd,de,16.88
cd,ee,21.148
cd,fe,17.471
cd,ge,15.797
cd,he,14.495
cd,b,18.563
cd,c,14.76
cd,d,6.884
cd,e,14.971
dd,ed,7.586
dd,fd,11.936
dd,gd,5.628
dd,be,16.785
dd,ce,20.57
dd,de,18.038
dd,ee,22.297
dd,fe,18.854
dd,ge,16.946
dd,he,15.878
dd,b,22.001
dd,c,18.461
dd,d,5.784
dd,e,16.12
ed,fd,8.003
ed,gd,9.492
ed,be,19.044
ed,ce,22.829
ed,de,20.298
ed,ee,24.556
ed,fe,21.113
ed,ge,19.205
ed,he,18.137
ed,b,23.396
ed,c,19.758
ed,d,8.043
ed,e,18.379
fd,gd,13.841
fd,be,18.589
fd,ce,22.374
fd,de,19.843
fd,ee,24.101
fd,fe,20.658
fd,ge,18.75
fd,he,17.682
fd,b,21.916
fd,c,18.113
fd,d,9.193
fd,e,17.924
gd,be,13.318
gd,ce,17.103
gd,de,14.572
gd,ee,18.83
gd,fe,15.387
gd,ge,13.479
gd,he,12.411
gd,b,18.764
gd,c,17.201
gd,d,6.781
gd,e,12.653
be,ce,9.655
be,de,5.978
be,ee,10.069
be,fe,4.815
be,ge,10.464
be,he,4.096
be,b,15.119
be,c,17.256
be,d,11.577
be,e,5.609
ce,de,6.073
ce,ee,5.6
ce,fe,10.996
ce,ge,7.971
ce,he,10.212
ce,b,20.755
ce,c,22.844
ce,d,15.362
ce,e,7.74
de,ee,6.583
de,fe,5.715
de,ge,8.061
de,he,6.535
de,b,17.079
de,c,19.216
de,d,12.831
de,e,4.064
ee,fe,8.3
ee,ge,9.698
ee,he,10.899
ee,b,21.443
ee,c,23.58
ee,d,17.089
ee,e,8.427
fe,ge,11.805
fe,he,6.165
fe,b,17.189
fe,c,19.326
fe,d,13.646
fe,e,6.95
ge,he,10.114
ge,b,17.924
ge,c,19.22
ge,d,11.738
ge,e,5.285
he,b,14.212
he,c,16.35
he,d,10.67
he,e,6.024
b,c,15.867
b,d,16.793
b,e,16.568
c,d,14.689
c,e,18.393
d,e,10.912
