from,to,distance
a,bb,20.781
a,cb,16.118
a,db,20.199
a,eb,18.951
a,fb,19.977
a,b,20.118
a,bc,6.9
a,cc,12.345
a,dc,5.583
a,ec,8.66
a,c,7.569
a,bd,18.484
a,cd,20.061
a,dd,23.767
a,ed,25.059
a,fd,23.414
a,d,19.99
a,be,22.557
a,ce,28.144
a,de,24.517
a,ee,28.88
a,e,23.694
bb,cb,5.702
bb,db,4.063
bb,eb,8.739
bb,fb,9.643
bb,b,6.097
bb,bc,17.096
bb,cc,16.195
bb,dc,18.165
bb,ec,13.604
bb,c,16.53
bb,bd,18.53
bb,cd,20.107
bb,dd,23.813
bb,ed,25.105
bb,fd,23.46
bb,d,18.847
bb,be,17.173
bb,ce,22.809
bb,de,19.132
bb,ee,23.496
bb,e,18.621
cb,db,6.211
cb,eb,7.289
cb,fb,7.101
cb,b,4.137
cb,bc,12.433
cb,cc,11.361
cb,dc,13.502
cb,ec,8.941
cb,c,11.867
cb,bd,13.28
cb,cd,14.857
cb,dd,18.372
cb,ed,19.69
cb,fd,18.21
cb,d,13.159
cb,be,11.485
cb,ce,17.121
cb,de,13.445
cb,ee,17.809
cb,e,12.934
db,eb,7.766
db,fb,10.152
db,b,6.606
db,bc,16.515
db,cc,15.614
db,dc,17.584
db,ec,13.023
db,c,15.949
db,bd,17.949
db,cd,19.526
db,dd,23.232
db,ed,24.524
db,fd,22.879
db,d,18.532
db,be,17.194
db,ce,22.83
db,de,19.154
db,ee,23.517
db,e,18.643
eb,fb,12.124
eb,b,10.204
eb,bc,15.266
eb,cc,14.365
eb,dc,16.335
eb,ec,11.774
eb,c,14.7
eb,bd,16.7
eb,cd,18.277
eb,dd,21.983
eb,ed,23.275
eb,fd,21.63
eb,d,17.48
eb,be,16.44
eb,ce,22.077
eb,de,18.4
eb,ee,22.764
eb,e,17.889
fb,b,5.922
fb,bc,16.293
fb,cc,15.038
fb,dc,17.362
fb,ec,12.8
fb,c,15.726
fb,bd,16.538
fb,cd,18.115
fb,dd,21.558
fb,ed,22.948
fb,fd,21.468
fb,d,16.345
fb,be,14.671
fb,ce,20.307
fb,de,16.631
fb,ee,20.994
fb,e,16.12
b,bc,16.433
b,cc,15.393
b,dc,17.502
b,ec,12.941
b,c,15.867
b,bd,16.986
b,cd,18.563
b,dd,22.006
b,ed,23.396
b,fd,21.916
b,d,16.793
b,be,15.119
b,ce,20.755
b,de,17.079
b,ee,21.443
b,e,16.568
bc,cc,10.23
bc,dc,4.154
bc,ec,6.265
bc,c,5.238
bc,bd,16.089
bc,cd,17.665
bc,dd,21.372
bc,ed,22.664
bc,fd,21.019
bc,d,17.595
bc,be,19.215
bc,ce,24.851
bc,de,21.174
bc,ee,25.538
bc,e,20.461
cc,dc,10.266
cc,ec,6.184
cc,c,7.324
cc,bd,10.08
cc,cd,11.657
cc,dd,15.363
cc,ed,16.655
cc,fd,15.01
cc,d,11.586
cc,be,14.756
cc,ce,19.74
cc,de,16.716
cc,ee,21.079
cc,e,15.29
dc,ec,6.3
dc,c,5.21
dc,bd,16.124
dc,cd,17.701
dc,dd,21.407
dc,ed,22.699
dc,fd,21.055
dc,d,17.63
dc,be,20.198
dc,ce,25.785
dc,de,22.157
dc,ee,26.521
dc,e,21.335
ec,c,3.715
ec,bd,12.043
ec,cd,13.62
ec,dd,17.326
ec,ed,18.618
ec,fd,16.973
ec,d,13.549
ec,be,15.616
ec,ce,21.252
ec,de,17.575
ec,ee,21.939
ec,e,16.862
c,bd,13.183
c,cd,14.76
c,dd,18.466
c,ed,19.758
c,fd,18.113
c,d,14.689
c,be,17.256
c,ce,22.844
c,de,19.216
c,ee,23.58
c,e,18.393
bd,cd,4.804
bd,dd,9.805
bd,ed,11.047
bd,fd,8.157
bd,d,6.48
bd,be,13.825
bd,ce,17.875
bd,de,15.303
bd,ee,19.602
bd,e,13.425
cd,dd,10.21
cd,ed,10.314
cd,fd,7.243
cd,d,6.884
cd,be,15.402
cd,ce,19.421
cd,de,16.88
cd,ee,21.148
cd,e,14.971
dd,ed,7.586
dd,fd,11.936
dd,d,5.788
dd,be,16.789
dd,ce,20.575
dd,de,18.043
dd,ee,22.302
dd,e,16.124
ed,fd,8.003
ed,d,8.043
ed,be,19.044
ed,ce,22.829
ed,de,20.298
ed,ee,24.556
ed,e,18.379
fd,d,9.193
fd,be,18.589
fd,ce,22.374
fd,de,19.843
fd,ee,24.101
fd,e,17.924
d,be,11.577
d,ce,15.362
d,de,12.831
d,ee,17.089
d,e,10.912
be,ce,9.655
be,de,5.978
be,ee,10.069
be,e,5.609
ce,de,6.073
ce,ee,5.6
ce,e,7.74
de,ee,6.583
de,e,4.064
ee,e,8.427
